EN,LA,Formal,Article
Grass,Трава,2,none
Tree,Дерево,2,none
Flower,Квітка,2,none
Dirt,Ґрунт,2,none
Seed,Насіння,2,none
Plant pot,Горщик,2,none
Watering can,Лійка,2,none
Wheelbarrow,Тачка,2,none
Hose,Шланг,2,none
Garden gnome,Садовий гном,2,none
Lawn mower,Газонокосарка,2,none
Bucket,Відро,2,none
