EN,LA,Formal,Article
Grass,Gras,2,das
Tree,Baum,2,der
Flower,Blume,2,die
Dirt,Erde,2,die
Seed,Samen,2,der
Plant pot,Blumentopf,2,der
Watering can,Gießkanne,2,die
Wheelbarrow,Schubkarre,2,die
Hose,Schlauch,2,der
Garden gnome,Gartenzwerg,2,der
Lawn mower,Rasenmäher,2,der
Bucket,Eimer,2,der
