EN,LA,Formal,Article
Days,أيام,2,none
Monday,يوم الاثنين,2,none
Tuesday,يوم الثلاثاء,2,none
Wednesday,يوم الأربعاء,2,none
Thursday,يوم الخميس,2,none
Friday,يوم الجمعة,2,none
Saturday,يوم السبت,2,none
Sunday,يوم الأحد,2,none
